fold,model,train_time,Brier,BACC,MCC,SE,PPV,SP,NPV,timestamp
1,LR,0.012819766998291016,0.15736549578080414,0.7625,0.5400617248673216,0.65,0.7222222222222222,0.875,0.8333333333333334,2025-10-08 11:18:22.843551
1,SVM_linear,0.018254756927490234,0.15804149048167215,0.6625,0.36223083817397933,0.45,0.6428571428571429,0.875,0.7608695652173914,2025-10-08 11:18:22.843551
1,SVM_rbf,0.02017378807067871,0.16163935163334786,0.725,0.4629100498862757,0.6,0.6666666666666666,0.85,0.8095238095238095,2025-10-08 11:18:22.843551
1,kNN_k5,0.04706740379333496,0.19179130486671442,0.6375,0.3478505426185217,0.35,0.7,0.925,0.74,2025-10-08 11:18:22.843551
1,DT,0.011280059814453125,0.12822257653277414,0.8375,0.6943650748294136,0.75,0.8333333333333334,0.925,0.8809523809523809,2025-10-08 11:18:22.843551
1,RF,0.22896265983581543,0.11055723239877449,0.8375,0.6943650748294136,0.75,0.8333333333333334,0.925,0.8809523809523809,2025-10-08 11:18:22.843551
1,NB,0.010922431945800781,0.1622198067921843,0.7125,0.48631013253702965,0.5,0.7692307692307693,0.925,0.7872340425531915,2025-10-08 11:18:22.843551
1,GB,0.11028027534484863,0.11110496180352082,0.825,0.658702969519582,0.75,0.7894736842105263,0.9,0.8780487804878049,2025-10-08 11:18:22.843551
1,MLP,0.09068036079406738,0.21391967497460845,0.65,0.3086066999241838,0.5,0.5555555555555556,0.8,0.7619047619047619,2025-10-08 11:18:22.843551
2,LR,0.02215266227722168,0.13756347111630923,0.8196405648267009,0.6489327854329603,0.7368421052631579,0.7777777777777778,0.9024390243902439,0.8809523809523809,2025-10-08 11:18:22.843551
2,SVM_linear,0.04258131980895996,0.14025294049251036,0.7670089858793325,0.5617437798685708,0.631578947368421,0.75,0.9024390243902439,0.8409090909090909,2025-10-08 11:18:22.843551
2,SVM_rbf,0.025275468826293945,0.14422510857347065,0.7811296534017972,0.5707481124892302,0.6842105263157895,0.7222222222222222,0.8780487804878049,0.8571428571428571,2025-10-08 11:18:22.843551
2,kNN_k5,0.0363774299621582,0.17305508510303858,0.6739409499358151,0.4182213306164359,0.42105263157894735,0.7272727272727273,0.926829268292683,0.7755102040816326,2025-10-08 11:18:22.843551
2,DT,0.011184930801391602,0.136860351521361,0.8337612323491657,0.658702969519582,0.7894736842105263,0.75,0.8780487804878049,0.9,2025-10-08 11:18:22.843551
2,RF,0.2163095474243164,0.12602856135160326,0.8337612323491657,0.658702969519582,0.7894736842105263,0.75,0.8780487804878049,0.9,2025-10-08 11:18:22.843551
2,NB,0.012100696563720703,0.15734778628876103,0.6880616174582799,0.4246961132308309,0.47368421052631576,0.6923076923076923,0.9024390243902439,0.7872340425531915,2025-10-08 11:18:22.843551
2,GB,0.10957098007202148,0.1383149705663442,0.8337612323491657,0.658702969519582,0.7894736842105263,0.75,0.8780487804878049,0.9,2025-10-08 11:18:22.843551
2,MLP,0.13248157501220703,0.1940399131746973,0.5949935815147626,0.2599838203562725,0.2631578947368421,0.625,0.926829268292683,0.7307692307692307,2025-10-08 11:18:22.843551
3,LR,0.02167487144470215,0.11949326225742395,0.8459563543003852,0.6919127086007703,0.7894736842105263,0.7894736842105263,0.9024390243902439,0.9024390243902439,2025-10-08 11:18:22.843551
3,SVM_linear,0.05443406105041504,0.12902247004550413,0.8055198973042362,0.6427645173496146,0.6842105263157895,0.8125,0.926829268292683,0.8636363636363636,2025-10-08 11:18:22.843551
3,SVM_rbf,0.02289271354675293,0.13556085867782527,0.7670089858793325,0.5617437798685708,0.631578947368421,0.75,0.9024390243902439,0.8409090909090909,2025-10-08 11:18:22.843551
3,kNN_k5,0.049347639083862305,0.21317709587740313,0.5686777920410784,0.19903437713058378,0.21052631578947367,0.5714285714285714,0.926829268292683,0.7169811320754716,2025-10-08 11:18:22.843551
3,DT,0.013947725296020508,0.14294880578514094,0.7971758664955071,0.5686531931014617,0.7894736842105263,0.6521739130434783,0.8048780487804879,0.8918918918918919,2025-10-08 11:18:22.843551
3,RF,0.23225927352905273,0.10745154412364412,0.8581514762516047,0.7271174583766905,0.7894736842105263,0.8333333333333334,0.926829268292683,0.9047619047619048,2025-10-08 11:18:22.843551
3,NB,0.012139081954956055,0.1505074000100594,0.7528883183568678,0.5562686173382623,0.5789473684210527,0.7857142857142857,0.926829268292683,0.8260869565217391,2025-10-08 11:18:22.843551
3,GB,0.10702824592590332,0.11526693270168532,0.8196405648267009,0.6489327854329603,0.7368421052631579,0.7777777777777778,0.9024390243902439,0.8809523809523809,2025-10-08 11:18:22.843551
3,MLP,0.052008867263793945,0.20239561791244912,0.607188703465982,0.3106424390729672,0.2631578947368421,0.7142857142857143,0.9512195121951219,0.7358490566037735,2025-10-08 11:18:22.843551
4,LR,0.011399507522583008,0.1047990133607028,0.8299101412066752,0.7256905312483929,0.6842105263157895,0.9285714285714286,0.975609756097561,0.8695652173913043,2025-10-08 11:18:22.843551
4,SVM_linear,0.022181034088134766,0.10236573454974986,0.8299101412066752,0.7256905312483929,0.6842105263157895,0.9285714285714286,0.975609756097561,0.8695652173913043,2025-10-08 11:18:22.843551
4,SVM_rbf,0.023302078247070312,0.1167173487375469,0.7913992297817715,0.6409795742933276,0.631578947368421,0.8571428571428571,0.9512195121951219,0.8478260869565217,2025-10-08 11:18:22.843551
4,kNN_k5,0.06465363502502441,0.1819789578163711,0.6598202824133504,0.4164129963551078,0.3684210526315789,0.7777777777777778,0.9512195121951219,0.7647058823529411,2025-10-08 11:18:22.843551
4,DT,0.012638568878173828,0.21988979760475125,0.6129653401797176,0.23766082994439533,0.42105263157894735,0.5,0.8048780487804879,0.75,2025-10-08 11:18:22.843551
4,RF,0.19707822799682617,0.1278579583002185,0.7528883183568678,0.5562686173382623,0.5789473684210527,0.7857142857142857,0.926829268292683,0.8260869565217391,2025-10-08 11:18:22.843551
4,NB,0.011332035064697266,0.13133426392442277,0.6983311938382541,0.5167534774045314,0.42105263157894735,0.8888888888888888,0.975609756097561,0.7843137254901961,2025-10-08 11:18:22.843551
4,GB,0.10618209838867188,0.15701759246473565,0.754813863928113,0.5260936858500342,0.631578947368421,0.7058823529411765,0.8780487804878049,0.8372093023255814,2025-10-08 11:18:22.843551
4,MLP,0.13262271881103516,0.15155751710223309,0.7368421052631579,0.617093958453955,0.47368421052631576,1.0,1.0,0.803921568627451,2025-10-08 11:18:22.843551
5,LR,0.022414445877075195,0.14885818370200432,0.700657894736842,0.43064665222774007,0.5263157894736842,0.6666666666666666,0.875,0.7954545454545454,2025-10-08 11:18:22.843551
5,SVM_linear,0.04148435592651367,0.1500454863247871,0.6868421052631579,0.42127040662832244,0.47368421052631576,0.6923076923076923,0.9,0.782608695652174,2025-10-08 11:18:22.843551
5,SVM_rbf,0.0256807804107666,0.15047186597337153,0.7394736842105263,0.5139520701996636,0.5789473684210527,0.7333333333333333,0.9,0.8181818181818182,2025-10-08 11:18:22.843551
5,kNN_k5,0.050809621810913086,0.18328762078805183,0.6217105263157895,0.28256956319470483,0.3684210526315789,0.5833333333333334,0.875,0.7446808510638298,2025-10-08 11:18:22.843551
5,DT,0.011131763458251953,0.1449204707540418,0.7671052631578947,0.5342105263157895,0.6842105263157895,0.6842105263157895,0.85,0.85,2025-10-08 11:18:22.843551
5,RF,0.21996140480041504,0.12516554076008501,0.7657894736842106,0.5587021593077813,0.631578947368421,0.75,0.9,0.8372093023255814,2025-10-08 11:18:22.843551
5,NB,0.012432575225830078,0.13121376115418734,0.7644736842105263,0.5963052938893859,0.5789473684210527,0.8461538461538461,0.95,0.8260869565217391,2025-10-08 11:18:22.843551
5,GB,0.1162405014038086,0.16048353493704945,0.7532894736842105,0.5226426262346786,0.631578947368421,0.7058823529411765,0.875,0.8333333333333334,2025-10-08 11:18:22.843551
5,MLP,0.08054184913635254,0.24175280970619747,0.6019736842105263,0.1919469687630493,0.5789473684210527,0.4230769230769231,0.625,0.7575757575757576,2025-10-08 11:18:22.843551
